"id","name","number.compounds","super.pathway"
"map00010","Glycolysis / Gluconeogenesis",31,"Metabolism; Carbohydrate metabolism"
"map00020","Citrate cycle (TCA cycle)",20,"Metabolism; Carbohydrate metabolism"
"map00030","Pentose phosphate pathway",34,"Metabolism; Carbohydrate metabolism"
"map00040","Pentose and glucuronate interconversions",51,"Metabolism; Carbohydrate metabolism"
"map00051","Fructose and mannose metabolism",51,"Metabolism; Carbohydrate metabolism"
"map00052","Galactose metabolism",41,"Metabolism; Carbohydrate metabolism"
"map00053","Ascorbate and aldarate metabolism",47,"Metabolism; Carbohydrate metabolism"
"map00061","Fatty acid biosynthesis",49,"Metabolism; Lipid metabolism"
"map00062","Fatty acid elongation",36,"Metabolism; Lipid metabolism"
"map00071","Fatty acid degradation",50,"Metabolism; Lipid metabolism"
"map00072","Synthesis and degradation of ketone bodies",6,"Metabolism; Lipid metabolism"
"map00073","Cutin, suberine and wax biosynthesis",27,"Metabolism; Lipid metabolism"
"map00100","Steroid biosynthesis",48,"Metabolism; Lipid metabolism"
"map00120","Primary bile acid biosynthesis",47,"Metabolism; Lipid metabolism"
"map00121","Secondary bile acid biosynthesis",32,"Metabolism; Lipid metabolism"
"map00130","Ubiquinone and other terpenoid-quinone biosynthesis",80,"Metabolism; Metabolism of cofactors and vitamins"
"map00140","Steroid hormone biosynthesis",99,"Metabolism; Lipid metabolism"
"map00190","Oxidative phosphorylation",16,"Metabolism; Energy metabolism"
"map00195","Photosynthesis",11,"Metabolism; Energy metabolism"
"map00230","Purine metabolism",92,"Metabolism; Nucleotide metabolism"
"map00231","Puromycin biosynthesis",12,"Metabolism; Biosynthesis of other secondary metabolites"
"map00232","Caffeine metabolism",21,"Metabolism; Biosynthesis of other secondary metabolites"
"map00240","Pyrimidine metabolism",66,"Metabolism; Nucleotide metabolism"
"map00250","Alanine, aspartate and glutamate metabolism",24,"Metabolism; Amino acid metabolism"
"map00253","Tetracycline biosynthesis",22,"Metabolism; Metabolism of terpenoids and polyketides"
"map00254","Aflatoxin biosynthesis",27,"Metabolism; Biosynthesis of other secondary metabolites"
"map00260","Glycine, serine and threonine metabolism",51,"Metabolism; Amino acid metabolism"
"map00270","Cysteine and methionine metabolism",57,"Metabolism; Amino acid metabolism"
"map00280","Valine, leucine and isoleucine degradation",41,"Metabolism; Amino acid metabolism"
"map00281","Geraniol degradation",21,"Metabolism; Metabolism of terpenoids and polyketides"
"map00290","Valine, leucine and isoleucine biosynthesis",23,"Metabolism; Amino acid metabolism"
"map00300","Lysine biosynthesis",35,"Metabolism; Amino acid metabolism"
"map00310","Lysine degradation",47,"Metabolism; Amino acid metabolism"
"map00311","Penicillin and cephalosporin biosynthesis",18,"Metabolism; Biosynthesis of other secondary metabolites"
"map00330","Arginine and proline metabolism",90,"Metabolism; Amino acid metabolism"
"map00331","Clavulanic acid biosynthesis",10,"Metabolism; Biosynthesis of other secondary metabolites"
"map00340","Histidine metabolism",45,"Metabolism; Amino acid metabolism"
"map00350","Tyrosine metabolism",76,"Metabolism; Amino acid metabolism"
"map00351","DDT degradation",20,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00360","Phenylalanine metabolism",72,"Metabolism; Amino acid metabolism"
"map00361","Chlorocyclohexane and chlorobenzene degradation",80,"Metabolism; Xenobiotics biodegradation and metabolism"
"map00362","Benzoate degradation",66,"Metabolism; Xenobiotics biodegradation and metabolism"
