Sample Name,
Raw File Name,J:\Data\pHilicTest_18APR15\Std2_1.raw
Config File Name,J:\StdMix2_20min_pHILIC_06022013.csv
Laboratory,
Acquisition Start Time,18/04/2015 15:21:58



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
-,1,Menadione,C11H8O2,+,,N,-,15.65,-,N,-,-,-,-,-,-,-,-,
1,2,Dopamine,C8H11NO2,+,noisy,154.08620,-0.38,8.28,4.79,40341,-,-,-,-,-,-,-,-,
2,3,Thiopurine S-methylether,C6H6N4S,+,,167.03845,-0.85,6.35,6.29,634543936,-,-,-,-,-,-,-,-,
3,4,5'-Methylthioadenosine,C11H15N5O3S,+,,298.09711,0.91,6.52,6.49,390153184,-,-,-,-,-,-,-,-,
4,5,Nicotinamide,C6H6N2O,+,,123.05511,-1.42,6.80,6.68,685030490,-,-,-,-,-,-,-,-,
5,6,4-(beta-Acetylaminoethyl)imidazole,C7H11N3O,+,,154.09747,-0.10,6.92,6.95,1379768122,-,-,-,-,-,-,-,-,
6,7,Pyridoxal,C8H9NO3,+,noisy,168.06543,-0.54,7.74,7.16,608319049,-,-,-,-,-,-,-,-,
7,8,6-Methylaminopurine,C6H7N5,+,,150.07741,-0.09,7.36,7.30,775948865,-,-,-,-,-,-,-,-,
8,9,Deoxyadenosine,C10H13N5O3,+,,252.10889,-0.91,7.46,7.40,454320908,-,-,-,-,-,-,-,-,
9,10,Pantothenate,C9H17NO5,+,,220.11797,0.08,7.46,7.38,181716297,-,-,-,-,-,-,-,-,
10,11,Uracil,C4H4N2O2,+,,113.03453,-0.21,7.85,7.72,1527604,-,-,-,-,-,-,-,-,
11,12,Picolinic acid,C6H5NO2,+,noisy,124.03933,0.20,7.55,7.55,113954470,-,-,-,-,-,-,-,-,
12,13,thymine,C5H6N2O2,+,,127.05025,0.34,7.11,7.03,11481343,-,-,-,-,-,-,-,-,
13,14,Adenosine,C10H13N5O4,+,,268.10388,-0.55,7.94,7.89,345087256,-,-,-,-,-,-,-,-,
14,15,Hypoxanthine,C5H4N4O,+,low conc (10fold),137.04578,-0.08,8.75,8.57,35869148,-,-,-,-,-,-,-,-,
15,16,5-Oxoproline,C5H7NO3,+,,130.04996,0.67,8.36,8.19,210756304,-,-,-,-,-,-,-,-,
16,17,HEPES,C8H18N2O4S,+,,239.10619,0.76,8.36,8.23,267895472,-,-,-,-,-,-,-,-,
17,18,L-Kynurenine,C10H12N2O3,+,,209.09196,-0.50,8.81,8.76,68356288,-,-,-,-,-,-,-,-,
18,19,Betaine,C5H11NO2,+,,118.08630,0.35,9.03,8.91,1013664457,-,-,-,-,-,-,-,-,
19,20,cytosine,C4H5N3O,+,,112.05048,-0.56,9.39,9.21,411004000,-,-,-,-,-,-,-,-,
20,21,FAD,C27H33N9O15P2,+,,786.16376,-0.83,8.47,8.42,6358408,-,-,-,-,-,-,-,-,
21,22,L-isoleucine,C6H13NO2,+,split?,132.10190,-0.05,9.30,9.19,418656568,-,-,-,-,-,-,-,-,
