Sample Name,
Raw File Name,E:\Data\QExactive\thermo_collaboration\stds2.raw
Config File Name,Z:\StdMix2_Jun2011.csv
Laboratory,
Acquisition Start Time,01/08/2012 12:38:43



Peak Num,Index,Compound Name,Formula,Polarity,Compound Info,Detected m/z,Delta (ppm),Expected RT,Actual RT,Adduct1 H+,Adduct2 NH4+,Adduct3 Na+,Frag1,Realm/z,Frag2,Real m/z, Frag3, Real m/z
-,1,Hypoxanthine,C5H4N4O,+,low conc (10fold),N,-,10.03,-,N,-,-,-,-,-,-,-,-,
1,2,Picolinic acid,C6H5NO2,+,noisy,124.03917,-1.09,7.89,9.00,2171573959,-,-,-,-,-,-,-,-,
-,3,Menadione,C11H8O2,+,,N,-,5.66,-,N,-,-,-,-,-,-,-,-,
-,4,Phenol,C6H6O,+,,N,-,5.86,-,N,-,-,-,-,-,-,-,-,
-,5,Thiopurine S-methylether,C6H6N4S,+,,N,-,6.47,-,N,-,-,-,-,-,-,-,-,
-,6,Biotin,C10H16N2O3S,+,,N,-,6.78,-,N,-,-,-,-,-,-,-,-,
-,7,Pantothenate,C9H17NO5,+,,N,-,7.01,-,N,-,-,-,-,-,-,-,-,
-,8,thymine,C5H6N2O2,+,,N,-,7.27,-,N,-,-,-,-,-,-,-,-,
-,9,Uracil,C4H4N2O2,+,,N,-,8.18,-,N,-,-,-,-,-,-,-,-,
2,10,Nicotinamide,C6H6N2O,+,,123.05515,-1.11,8.91,9.99,2595944,-,-,-,-,-,-,-,-,
3,11,5-Oxoproline,C5H7NO3,+,,130.04977,-0.73,9.22,7.52,112217446,-,-,-,-,-,-,-,-,
-,12,5'-Methylthioadenosine,C11H15N5O3S,+,,N,-,9.66,-,N,-,-,-,-,-,-,-,-,
4,13,Deoxyadenosine,C10H13N5O3,+,,252.10855,-2.24,11.94,12.24,456841,-,-,-,-,-,-,-,-,
-,14,5-Methoxytryptamine,C11H14N2O,+,,N,-,12.39,-,N,-,-,-,-,-,-,-,-,
-,15,L-Kynurenine,C10H12N2O3,+,,N,-,12.78,-,N,-,-,-,-,-,-,-,-,
-,16,Adenosine,C10H13N5O4,+,,N,-,12.69,-,N,-,-,-,-,-,-,-,-,
-,17,Guanosine,C10H13N5O5,+,,N,-,13.32,-,N,-,-,-,-,-,-,-,-,
5,18,6-Methylaminopurine,C6H7N5,+,,150.07721,-1.42,13.26,13.96,75225,-,-,-,-,-,-,-,-,
6,19,L-isoleucine,C6H13NO2,+,,132.10176,-1.09,13.57,15.43,9905040,-,-,-,-,-,-,-,-,
7,20,Pyridoxal,C8H9NO3,+,,168.06526,-1.53,14.91,12.77,280146,-,-,-,-,-,-,-,-,
-,21,L-Tyrosine,C9H11NO3,+,,N,-,15.29,-,N,-,-,-,-,-,-,-,-,
-,22,Methylcysteine,C4H9NO2S,+,,N,-,15.35,-,N,-,-,-,-,-,-,-,-,
8,23,4-Trimethylammoniobutanoate,C7H15NO2,+,,146.11737,-1.26,16.17,15.92,1637635570,-,-,-,-,-,-,-,-,
9,24,Betaine,C5H11NO2,+,,118.08613,-1.07,16.83,15.33,452540,-,-,-,-,-,-,-,-,
